采购单号,采购单价,采购数量,运费
PO210654,3.2,80,18
PO210655,15,3,6
PO210655,38,10,0
PO210669,40,5,20
PO210669,38,5,0
PO210670,28,10,8
PO210670,5,10,0
PO210671,12,20,12
PO210671,4,30,0
PO210671,13,50,0
PO210675,8,10,10
PO210675,14,10,0
PO210683,135,5,12
PO210683,70,5,0
PO210685,3.5,20,12
PO210685,4.2,20,0
PO210685,3.6,20,0
PO210691,14,15,13
PO210691,14,10,0
PO210692,11.5,15,8
PO210694,6.5,10,15
PO210694,8,10,0
PO210694,6.5,10,0
PO210694,8,10,0
PO210694,6.5,10,0
PO210694,8,10,0
PO210696,8.5,30,18
PO210696,5,30,0
PO210696,1.8,30,0
PO210697,67,5,27
PO210697,29.5,10,0
PO210707,12,10,9
PO210708,4.3,10,7
PO210708,5,10,0
PO210711,9.5,15,7
PO210712,6.5,10,3.5
PO210712,8.5,10,0
PO210715,7.5,10,5
PO210715,14,10,0
PO210720,60,10,20
PO210720,60,10,0
PO210722,45,20,0
PO210725,4.3,10,12
PO210725,6,10,0
PO210725,4.5,10,0
PO210734,7,10,8
PO210734,2.5,20,0
PO210735,50,50,16
PO210736,4.5,10,7
PO210737,3.9,10,14.1
PO210737,3.9,10,0
PO210738,44,50,60
PO210739,44,50,60
PO210740,35,5,10
PO210741,14.5,10,10
PO210743,18,20,14
PO210744,11.5,10,10
PO210744,29,10,0
PO210745,18,10,10
PO210746,32,10,25
PO210747,7,10,10
PO210749,35,10,11
PO210767,13,1,10
PO210767,6.4,3,0
PO210767,255,3,0
PO210769,13.1,40,13
PO210769,13.5,10,0
PO210770,11,5,10
PO210770,14.8,5,0
PO210770,15.5,15,0
PO210770,10.1,3,0
PO210770,4.5,5,0
PO210777,75,5,10
PO210777,72,28,0
PO210779,60,20,20
PO210780,37,20,0
PO210784,27,1,10
PO210784,29,6,0
PO210785,16,30,0
PO210785,16,30,0
PO210786,1.2,25,11.3
PO210786,1.1,10,0
PO210786,1.2,60,0
PO210786,1.2,70,0
PO210786,0.75,8,0
PO210788,3,20,10.5
PO210788,1.1,5,0
PO210788,1.1,40,0
PO210789,5.2,10,8
PO210790,11,20,8
PO210790,4,10,0
PO210792,2.12,20,6
PO210794,42,5,7
PO210795,20,5,10
PO210796,29,5,10
PO210797,33,5,20
PO210797,33,5,0
PO210798,40,10,10
PO210799,27,10,0
PO210799,30,5,0
PO210799,32,15,0
PO210799,32,5,0
PO210800,225,2,10
PO210800,32,2,0
PO210802,40,3,6
PO210803,80,2,0
PO210804,21,30,15
PO210804,8.5,20,0
PO210809,5.6,10,12
PO210809,5.6,20,0
PO210809,8,10,0
PO210809,5,5,0
PO210809,45,1,0
PO210809,5.6,10,0
PO210809,5.6,20,0
PO210809,8,10,0
PO210809,5,5,0
PO210809,45,1,0
PO210813,360,3,10
PO210816,14,5,12
PO210816,7,2,0
PO210817,32,5,10
PO210819,9,30,10
